city_id,province_id,city_name,old_id
1101,11,SIMEULUE,NULL
1102,11,ACEH SINGKIL,NULL
1103,11,ACEH SELATAN,NULL
1104,11,ACEH TENGGARA,NULL
1105,11,ACEH TIMUR,NULL
1106,11,ACEH TENGAH,NULL
1107,11,ACEH BARAT,NULL
1108,11,ACEH BESAR,NULL
1109,11,PIDIE,NULL
1110,11,BIREUEN,NULL
1111,11,ACEH UTARA,NULL
1112,11,ACEH BARAT DAYA,NULL
1113,11,GAYO LUES,NULL
1114,11,ACEH TAMIANG,NULL
1115,11,NAGAN RAYA,NULL
1117,11,BENER MERIAH,NULL
1118,11,PIDIE JAYA,NULL
1171,11,BANDA ACEH,NULL
1172,11,SABANG,NULL
1173,11,LANGSA,NULL
1174,11,LHOKSEUMAWE,NULL
1175,11,SUBULUSSALAM,NULL
1201,12,NIAS,NULL
1202,12,MANDAILING NATAL,NULL
1203,12,TAPANULI SELATAN,NULL
1204,12,TAPANULI TENGAH,NULL
1205,12,TAPANULI UTARA,NULL
1206,12,TOBA SAMOSIR,NULL
1207,12,LABUHAN BATU,NULL
1208,12,ASAHAN,NULL
1209,12,SIMALUNGUN,NULL
1210,12,DAIRI,NULL
1211,12,KARO,NULL
1212,12,DELI SERDANG,NULL
1213,12,LANGKAT,NULL
1214,12,NIAS SELATAN,NULL
1215,12,HUMBANG HASUNDUTAN,NULL
1216,12,PAKPAK BHARAT,NULL
1217,12,SAMOSIR,NULL
1218,12,SERDANG BEDAGAI,NULL
1219,12,BATU BARA,NULL
1222,12,LABUHAN BATU SELATAN,NULL
1223,12,LABUHAN BATU UTARA,NULL
1224,12,NIAS UTARA,NULL
1225,12,NIAS BARAT,NULL
1271,12,SIBOLGA,NULL
1272,12,KOTA TANJUNG BALAI,NULL
1273,12,PEMATANGSIANTAR,NULL
1274,12,TEBINGTINGGI,NULL
1275,12,KOTA MEDAN,NULL
1276,12,KOTA BINJAI,NULL
1277,12,KOTA PADANGSIDIMPUAN,NULL
1278,12,KOTA GUNUNGSITOLI,NULL
1301,13,KEPULAUAN MENTAWAI,NULL
1302,13,PESISIR SELATAN,NULL
1303,13,SOLOK,NULL
1304,13,SIJUNJUNG,NULL
1305,13,TANAH DATAR,NULL
1306,13,PADANG PARIAMAN,NULL
1307,13,AGAM,NULL
1308,13,LIMA PULUH KOTA,NULL
1309,13,PASAMAN,NULL
1310,13,SOLOK SELATAN,NULL
1311,13,DHARMASRAYA,NULL
1312,13,PASAMAN BARAT,NULL
1371,13,PADANG,NULL
1372,13,SOLOK,NULL
1373,13,SAWAHLUNTO,NULL
1374,13,PADANG PANJANG,NULL
1375,13,BUKITTINGGI,NULL
