No.;Tanggal;Delik;Sektor;Instansi;Unit Kerja;Provinsi;Kabupaten/Kota;Tahun;Kode Kabupaten;Kode Provinsi
1;03/03/14 00.00;Penyuapan;YUDIKATIF;PENGADILAN TINGGI DKI JAKARTA;PENGADILAN TINGGI DKI JAKARTA;DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
2;20/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2013;11;1171
3;12/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI BANTEN;;NUSA TENGGARA TIMUR;---;0;#N/A;5371
4;16/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEJAKSAAN TINGGI SULAWESI UTARA;KEJAKSAAN TINGGI SULAWESI UTARA;SULAWESI UTARA;MINAHASA UTARA;2006;7106;7171
5;13/05/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;KEMENTERIAN PEKERJAAN UMUM;KEMENTERIAN PEKERJAAN UMUM;JAWA TIMUR;BOJONEGORO;2013;3522;7835
6;24/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2013;11;1171
7;03/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
8;28/01/14 00.00;Penyuapan;;PEMERINTAH KOTA BIMA;PEMERINTAH KOTA BIMA;NUSA TENGGARA BARAT;BIMA;2013;5206;5271
9;05/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN LOMBOK TENGAH;PEMERINTAH KABUPATEN LOMBOK TENGAH;NUSA TENGGARA BARAT;LOMBOK TENGAH;2013;5202;5271
10;20/02/14 00.00;Pemerasan;;PEMERINTAH KOTA SALATIGA;;JAWA TENGAH;SALATIGA;2013;3373;3374
11;29/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PT. PERUSAHAAN LISTRIK NEGARA;PT. PERUSAHAAN LISTRIK NEGARA;JAWA TENGAH;SEMARANG;2010;3322;3374
12;03/12/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN JEPARA;PEMERINTAH KABUPATEN JEPARA;NUSA TENGGARA TIMUR;---;2014;#N/A;5371
13;05/03/14 00.00;Penyuapan;-;MAHKAMAH KONSTITUSI;MAHKAMAH KONSTITUSI;NUSA TENGGARA BARAT;BIMA;2013;5206;5271
14;14/02/14 00.00;Penyuapan;;KEJAKSAAN TINGGI KEPULAUAN BANGKA BELITUNG;;KEPULAUAN BANGKA BELITUNG;BANGKA SELATAN;2013;1905;1971
15;11/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;DKI JAKARTA;JAKARTA PUSAT;2003;3173;3173
16;03/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;JAWA BARAT;BANDUNG;2003;3204;3273
17;07/03/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;PEMERINTAH PROVINSI KALIMANTAN TENGAH;PEMERINTAH PROVINSI KALIMANTAN TENGAH;KALIMANTAN TENGAH;PALANGKA RAYA;2007;6271;6271
18;20/02/14 00.00;Penyuapan;-;PEMERINTAH PROVINSI JAMBI;PEMERINTAH PROVINSI JAMBI;JAMBI;JAMBI;2012;1571;1571
19;29/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN GORONTALO;DINAS PU/KIMPRASWIL KABUPATEN GORONTALO;NUSA TENGGARA TIMUR;---;2005;#N/A;5371
20;07/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN MUSI BANYUASIN;PEMERINTAH KABUPATEN MUSI BANYU ASIN;SUMATERA SELATAN;MUSI BANYUASIN;2013;1606;1671
