No.;Tanggal;created_date;kota_kab_pelapor;propinsi_pelapor;klasifikasi_pelapor;jabatan_terlapor;kota_kab_terlapor;propinsi_terlapor;id_substansi;id_dugaan_maladministrasi;ringkasan_laporan;id_kantor;kode_kabupaten;kode_prov
1;01/01/14 00.00;14/05/14 14.04;;SULAWESI TENGGARA;Perorangan/Korban Langsung;BKD Bombana;;SULAWESI TENGGARA;;Penyimpangan Prosedur;salah formasi dalam pengumuman CPNSD 2013;Kantor Perwakilan Sulawesi Tenggara;;7471
2;01/01/14 00.00;14/05/14 14.04;;#N/A;Lembaga Bantuan Hukum;Keuchik Punge Blang Cut;KOTA BANDA ACEH;ACEH;Pertanahan;Tidak Patut;Dugaan Maladministrasi terkait surat teguran dari Aparatur Pemerintah Gampong kepada Sdr. Nurdin untuk segera membongkar sebagian rumah Sdr. Nurdin seluas 1.80 cm;Kantor Perwakilan Aceh;1171;1171
3;01/01/14 00.00;14/05/14 14.04;KOTA BATAM;KEPULAUAN RIAU;Perorangan/Korban Langsung;;KOTA BATAM;KEPULAUAN RIAU;Kepolisian;Penundaan Berlarut;Pelapor telah datang dan melaporkan dugaan tindak pudana penipuan dan atau penggelapan ke Polresta Barelang pada tanggal 11 April 2013 pukul 19.30 dengan laporan polisi Nomor : LP-B/383/IV/2013/Kepri/SPK-Polresta Barelang. Namun Hingga saat ini terlapor y;Kantor Perwakilan Kepulauan Riau;;2171
4;01/01/14 00.00;14/05/14 14.04;;JAWA BARAT;Perorangan/Korban Langsung;Kepala Kantor;;GORONTALO;;Penundaan Berlarut;dugaan penundaan berlarut penerbitan sertifikat wakaf dan tidak diberikannya Surat Ikrar Wakaf oleh KUA Limboto Barat;Kantor Perwakilan Gorontalo;;7571
5;01/01/14 00.00;14/05/14 14.04;;#N/A;Perorangan/Korban Langsung;Kepala Kantor;KOTA GORONTALO;GORONTALO;Asuransi/Jaminan Sosial;Tidak Memberikan Pelayanan;pelapor tidak diberikan pelayanan ketika mengklaim uang duka wafat dan uang pensiun terusan ke Taspen Kota Gorontalo;Kantor Perwakilan Gorontalo;7571;7571
6;01/01/14 00.00;14/05/14 14.04;;ACEH;Perorangan/Korban Langsung;;;ACEH;;Penyimpangan Prosedur;;Kantor Perwakilan Aceh;;1171
7;01/01/14 00.00;14/05/14 14.04;;ACEH;Perorangan/Korban Langsung;;;ACEH;;Tidak Patut;;Kantor Perwakilan Aceh;;1171
8;01/01/14 00.00;14/05/14 14.04;;ACEH;Perorangan/Korban Langsung;;;ACEH;;Tidak Kompeten;;Kantor Perwakilan Aceh;;1171
9;01/01/14 00.00;14/05/14 14.04;;ACEH;Perorangan/Korban Langsung;;;ACEH;;Penyimpangan Prosedur;;Kantor Perwakilan Aceh;;1171
10;01/01/14 00.00;21/05/14 16.39;;#N/A;Kuasa Hukum;Kepala Kantor Pelayanan Perizinan Terpadu (KPPT) Kab. Kudus;KUDUS;JAWA TENGAH;Perijinan (PTSP);Penyimpangan Prosedur;"Dugaan penyimpangan prosedur penerbitan izin IMB &amp; HO Tower MCB milik CV. Lintas Reka Cipta di desa Lau, Kec. Dawe Kudus";Kantor Perwakilan Jawa Tengah;3319;3374
11;01/01/14 00.00;21/05/14 16.39;;#N/A;Perorangan/Korban Langsung;Kepala Satpol PP Kota Semarang;;JAWA TENGAH;;Tidak Memberikan Pelayanan;Dugaan tindakan tidak melayani atas laporan Pelapor tentang dugaan tidak berizin (IMB);Kantor Perwakilan Jawa Tengah;;3374
12;01/01/14 00.00;21/05/14 16.39;;#N/A;Perorangan/Korban Langsung;Kapolda Jawa Tengah;;JAWA TENGAH;;Penyimpangan Prosedur;Dugaan Penyimpangan prosedur dalam penanganan kasus yang dilaporkan Pelapor ke Polda Jateng terkait penyalahgunaan KTP;Kantor Perwakilan Jawa Tengah;;3374
13;01/01/14 00.00;21/05/14 16.39;;#N/A;Perorangan/Korban Langsung;Kepala Kantor Pertanahan Kabupaten Demak;DEMAK;JAWA TENGAH;Pertanahan;Penundaan Berlarut;Dugaan penundaan berlarut atas dalam proses pensrtifikatan tanah milik Pelapor di Kantor Pertanahan Kab. Demak;Kantor Perwakilan Jawa Tengah;3321;3374
14;01/01/14 00.00;21/05/14 16.39;;#N/A;Perorangan/Korban Langsung;Walikota Semarang;;JAWA TENGAH;;Penundaan Berlarut;Dugaan penundaan berlarut atas tindak lanjut penanganan laporan Pelapor Kewalikota Semarang terkait pembongkaran tower ;Kantor Perwakilan Jawa Tengah;;3374
